feature#	feature	Visual	Perceptual	Functional	Motoric
752	rude	0	0	0	0
753	ruin	0	0	1	0
754	run	0	0	1	1
755	sad	0	0	0	0
756	safe	0	0	0	0
757	sail	1	0	0	1
758	salad	0	0	1	0
759	saliva	0	0	0	0
760	salt	0	1	0	0
761	save	0	0	1	0
762	say	0	0	0	0
763	scales	1	0	0	0
764	scare	0	0	0	0
765	scent	0	1	0	0
766	school	0	0	0	0
767	scissors	0	0	0	0
768	scoop	0	0	0	1
769	scrape	0	0	1	1
770	scratch	0	1	0	1
771	scream	0	1	0	0
772	screech	0	1	0	0
773	screw	0	0	1	0
774	search	1	0	0	1
775	seat	1	0	0	0
776	secret	0	0	0	0
777	see	1	0	1	0
778	seed	1	0	0	0
779	self	0	0	0	0
780	sense	1	1	1	0
781	sensitive	0	1	0	0
782	separate	0	0	1	0
783	service	0	0	0	0
784	set	0	0	0	1
785	shake	0	1	0	1
786	shape	1	0	0	0
787	share	0	0	1	0
788	sharp	1	1	0	0
789	shave	0	0	1	0
790	shine	1	0	0	0
791	shingle	1	0	0	0
792	shirt	0	0	0	0
793	shoe	0	0	0	0
794	shoot	0	0	1	1
795	short	1	1	0	0
796	short-duration	1	1	0	0
797	shoulder	1	0	0	0
798	shout	0	1	0	0
799	shove	0	0	0	1
800	show	1	0	1	1
801	shrill	0	1	0	0
802	sick	0	1	0	0
803	side	1	0	0	0
804	sign	0	0	0	0
805	signal	1	1	1	0
806	silver	1	0	0	0
807	silverware	0	0	0	0
808	sit	0	0	1	1
809	skill	0	0	0	0
810	skin	1	0	0	0
811	sky	0	0	0	0
812	sleep	0	0	1	1
813	sleeve	1	0	0	0
814	sleeveless	1	0	0	0
815	slice	0	0	0	1
816	slide	0	0	1	1
817	slip	0	0	0	1
818	slow	1	1	0	1
819	small	1	1	0	0
820	smell	0	1	1	0
821	smile	0	0	1	1
822	smoke	1	0	0	0
823	smooth	1	1	1	1
824	sneak	0	0	0	1
825	snort	0	1	0	1
826	snow	0	0	0	0
827	soap	0	0	0	0
828	soft	1	1	0	0
829	solid	0	1	0	0
830	someone	0	0	0	0
831	something	0	0	0	0
832	somewhere	0	0	0	0
833	song	0	1	0	0
834	sound	0	1	1	0
835	soup	0	0	1	0
836	sour	0	1	1	0
837	speak	0	0	1	1
838	speed	1	0	0	1
839	spice	0	1	1	0
840	split	1	0	1	0
841	spoon	0	0	0	1
842	sport	0	0	0	0
843	spot	1	0	0	1
844	spread	0	0	1	1
845	square	1	0	0	0
846	squeak	0	1	0	0
847	stab	0	0	1	1
848	stairs	0	0	0	0
849	stalk	1	0	0	1
850	stand	0	0	1	1
851	star	0	0	0	0
852	start	0	0	0	1
853	startle	0	0	0	0
854	steal	0	0	1	0
855	steam	0	0	0	1
856	steel	0	0	0	0
857	steer	0	0	0	1
858	stem	1	0	0	0
859	stick	1	0	0	1
860	stir	0	0	1	1
861	stomach	1	0	0	1
862	stop	0	0	1	1
863	store	0	0	1	0
864	story	0	0	0	0
865	stove	0	0	0	0
866	straight	1	0	0	1
867	strength	0	0	0	1
868	stretch	0	0	1	1
869	strike	0	0	0	1
870	string	1	0	0	0
871	stripe	1	0	0	0
872	stroke	0	0	0	1
873	strong	1	1	0	0
874	structure	0	0	0	0
875	stubborn	0	0	0	0
876	style	1	0	1	0
877	substance	0	0	0	0
878	sudden	1	1	0	1
879	summer	0	0	0	0
880	sun	0	0	0	0
881	support	0	0	1	0
882	surface	1	1	0	0
883	surprise	0	0	0	0
884	surround	0	0	1	1
885	survive	0	0	1	0
886	swallow	0	0	1	1
887	swap	0	0	0	0
888	sweat	0	1	0	0
889	sweep	0	0	1	0
890	sweet	0	1	0	0
891	swim	0	0	1	1
892	swing	1	0	0	1
893	switch	0	0	0	0
894	table	0	0	0	0
895	tail	1	0	0	0
896	take	0	0	1	1
897	take-off	0	0	1	1
898	take-out	0	0	0	1
899	talk	0	0	1	0
900	tall	1	0	0	0
901	target	0	0	1	0
902	task	0	0	0	0
903	taste	0	1	1	0
904	taste-bud	1	0	0	0
905	teach	0	0	1	0
